nome_hotel,nota,titulo,texto,data
Hotel Colline de France,5,Serviço Impecável,"Ficamos durante uma semana no Hotel Colline de France , porém ficaríamos muito mais pelo serviço maravilhoso que o hotel apresenta , sem contar a beleza e a elegância em todos os aspectos do lugar ! Além disso , todos os funcionários são muito gentis e prestativos , dando destaque ao Fabiano que serviu nossa mesa durante a estadia, tendo uma educação impar conosco .   Super Recomendo !",dez. de 2021
Hotel Colline de France,5,"Hospitalidade, cordialidade, empatia ressignificados. Equipe inteira na mesma sintonia de encantar.","Hospitalidade indescritível.  Não tem palavras pra descrever o nível de hospitalidade, cordialidade e empatia que recebemos da equipe do Colline. Deixamos nossa gratidão e congratulações a todos do Colline.  Voltaremos por certo e recomendamos muitíssimo.",dez. de 2021
Hotel Colline de France,5,Tudo perfeito,"Lugar Maravilhoso, atendimento impecável, desde a recepção até o serviço de quarto, café da manhã sem igual, sommelier Luca mto atencioso, nos ajudou na escolha de um ótimo vinho para harmonizar com nosso jantar que tbm estava incrível, recomendo de olhos fechados, e com certeza voltarei numa próxima oportunidade, até breve, vcs são incríveis",dez. de 2021
Hotel Colline de France,5,Excelente serviço e atendimento exemplar.,Excelente equipe de funcionários com atendimento personalizado e exemplar. Ambientes clássicos em estilo francês muito agradáveis e de extremo bom gosto. Restaurante com gastronomia requintada e ótima carta de vinhos. Excepcional.,dez. de 2021
Hotel Colline de France,5,Excelência!,"Realmente o atendimento é muito bom! O hotel é confortável em todos os ambientes, cheio de detalhes e um cheirinho delicioso. O Pianista tocando deu um charme ao ambiente enquanto degustamos um delicioso espumante da Serra Gaúcha (cortesia). O café da manhã é incrível e toda a equipe a mais educada e bem treinada possível. Parabéns ao gerente Márcio e a todos do hotel Colline, que fizeram da nossa estada algo inesquecível!",dez. de 2021
Hotel Colline de France,5,Um charme de hotel!,"Ponto alto do hotel a equipe, atendimento excepcional, todos, sem exceção, sempre com sorriso nos lábios e prontos para nos ajudar. Decoração um sonho  de tirar o fôlego , nosso quarto lindo demais. E o chá da noite , que mimo…voltaremos com certeza.",dez. de 2021
Hotel Colline de France,5,Experiência incrível,Lugar incrível aí chegar eles te abordam levam tudo até a porta do carro abrem..na recepção vc tem opção de escolha de espumante...no quarto tem uma recepção de boas vindas com o espumante escolhido tudo muito perfeito cheguei dia 14 as 12 horas e já estava pronto meu quarto e já me hospedaram!tudo muito limpo e perfeito!!! parabéns a gerência Marcos se não me engano toda equipe que me atendeu e em especial o Eduardo pessoa incrível profissional humilde e muito educado!hoje dia 15 pela manhã que café perfeito eu queria poltrona rosa fui pro jardim que é incrível chegando lá esperei pouco tempo foram nos chamar..que meninas incríveis tão profissionais e educadas...que café da manhã perfeito os meninos TB...enfim fui pra ficar uma diária que foi a melhor da minha vida meu marido,dez. de 2021
Hotel Colline de France,5,Ferias,"Ficamos 2 dias com criança de quatro anos. Tudo perfeito, atendimento da equipe impecável, recepção, quartos maravilhosos, limpeza impecável, café da manhã perfeito. Super recomendo, com certeza voltarei.",dez. de 2021
Hotel Colline de France,5,O melhor e mais lindo hotel do mundo!,"Colline é experiência, inclusive a melhor que já tive o café da manhã incrível, o atendimento com toda certeza é oque difere dos outros hotéis da cidade. Elegante e acolhedor. Experiência única, todos devem conhecer oque é e oque representa Colline de France.",dez. de 2021
Hotel Colline de France,5,Café da manhã perfeito!,"Café da manhã excelente, muito bem servido, com diversas opções deliciosas, ambiente super agradável e atendimento impecável! Nos serviram uma taça de espumante para brindarmos nosso encontro e começarmos bem o dia! Foi perfeito! Amei a experiência!",dez. de 2021
